State,Cannabis Law Ranking
Alabama,37
Kentucky,41
North Dakota,31
Alaska,12
Louisiana,22
Ohio,29
Arizona,9
Maine,8
Oklahoma,27
Arkansas,30
Maryland,21
Oregon,5
California,1
Massachusetts,3
Pennsylvania,23
Colorado,2
Michigan,7
Rhode Island,20
Connecticut,16
Minnesota,28
South Carolina,45
Delaware,32
Mississippi,40
South Dakota,39
District of Columbia,17
Missouri,33
Tennessee,44
Florida,25
Montana,19
Texas,35
Georgia,42
Nebraska,51
Utah,34
Hawaii,24
Nevada,4
Vermont,11
Idaho,50
New Hampshire,26
Virginia,18
Illinois,6
New Jersey,13
Washington,10
Indiana,49
New Mexico,14
West Virginia,36
Iowa,38
New York,15
Wisconsin,47
Kansas,46
North Carolina,48
Wyoming,43